u_dpto,u_mpio,cod_mpio,hacinamiento,sin_cocina,sin_agua_cocina
05,480,05480,.14614429,.2108209,.16347381
05,483,05483,.06069364,.054913294,.013875124
05,490,05490,.14100185,.48344165,.18607596
05,495,05495,.2063137,.36390755,.027375625
05,501,05501,.087499999,.087499999,.025
05,541,05541,.059135508,.035799522,.012
05,543,05543,.11424332,.1231454,.085585587
05,576,05576,.059822746,.18786982,.047261816
05,579,05579,.13108546,.12402958,.013326987
05,585,05585,.08618331,.035567716,.0042223786
05,591,05591,.11934157,.08230453,.016842104
05,604,05604,.12257349,.055463117,.050809603
05,607,05607,.026195627,.039894257,.018428709
05,615,05615,.043775801,.07619331,.031183239
05,628,05628,.14179894,.23622881,.023454158
05,631,05631,.012100394,.059762668,.010289364
05,642,05642,.053105738,.053529132,.085271321
05,647,05647,.1,.080219783,.062983423
05,649,05649,.060124129,.11024845,.030350808
05,652,05652,.076836161,.07692308,.0194508
05,656,05656,.092221707,.11737308,.22126848
05,658,05658,.071932301,.062059239,.0056818184
05,659,05659,.16129032,.085260116,.81626654
05,660,05660,.069395021,.13268033,.0062808436
05,664,05664,.060277276,.12537673,.0069675855
05,665,05665,.18657719,.2132116,.023568101
05,667,05667,.068619892,.12567464,.064252339
05,670,05670,.07294552,.12142198,.006117647
05,674,05674,.064478986,.14910765,.10550725
05,679,05679,.048535563,.067224547,.0039469977
05,686,05686,.061969608,.12477789,.012304028
05,690,05690,.062709965,.081746921,.020338982
05,697,05697,.074659638,.019318016,.065198235
05,736,05736,.13842216,.084826894,.20608185
05,756,05756,.058293384,.03201687,.012582269
05,761,05761,.080241591,.088476479,.013043478
05,789,05789,.056849584,.14020537,.060260586
05,790,05790,.17254314,.13453363,.11649016
05,792,05792,.098617509,.16313364,.0084507046
05,809,05809,.053658538,.24424285,.011404134
05,819,05819,.12006579,.25657895,.021739131
05,837,05837,.13776399,.2938593,.88332176
05,842,05842,.092724681,.13694721,.029282577
05,847,05847,.095643759,.1127907,.09157005
05,854,05854,.10701755,.084136724,.081249997
05,856,05856,.048494983,.096153848,.02854744
05,858,05858,.091963217,.14314274,.0072845002
05,861,05861,.04463768,.066125289,.0076650945
05,873,05873,.10084926,.06631016,.99241602
05,885,05885,.061728396,.063548103,.010666667
05,887,05887,.068116978,.11741613,.032641307
05,890,05890,.077736892,.079189688,.00839944
05,893,05893,.15469429,.10869565,.15916955
05,895,05895,.16641679,.13321333,.1666159
08,001,08001,.13537508,.12119678,.010898718
08,078,08078,.20942689,.17048152,.068137065
08,137,08137,.26592624,.27756813,.1737726
08,141,08141,.30578512,.30589503,.087226279
